@relation name
@attribute 0 integer
@attribute 1 integer
@attribute 2 integer
@attribute 3 integer
@attribute 4 integer
@attribute 5 integer
@attribute 6 integer
@attribute 7 integer
@attribute 8 integer
@attribute 9 integer
@attribute 10 integer
@attribute 11 integer
@attribute 12 integer
@attribute 13 integer
@attribute 14 integer
@attribute 15 integer
@attribute 16 integer
@attribute 17 integer
@attribute 18 integer
@attribute 19 integer
@attribute 20 integer
@attribute 21 integer
@attribute 22 integer
@attribute 23 integer
@attribute 24 integer
@attribute 25 integer
@attribute 26 integer
@attribute 27 integer
@attribute 28 integer
@attribute 29 integer
@attribute 30 integer
@attribute 31 integer
@attribute 32 integer
@attribute 33 integer
@attribute 34 integer
@attribute 35 integer
@attribute 36 integer
@attribute 37 integer
@attribute 38 integer
@attribute 39 integer
@attribute 40 integer
@attribute 41 integer
@attribute 42 integer
@attribute 43 integer
@attribute 44 integer
@attribute 45 integer
@attribute 46 integer
@attribute 47 integer
@attribute 48 integer
@attribute 49 integer
@attribute 50 integer
@attribute 51 integer
@attribute 52 integer
@attribute 53 integer
@attribute 54 {True, False}
@data
2267,155,25,150,86,1168,240,233,108,1129,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2825,263,16,309,134,1047,177,246,206,1865,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2720,87,5,277,27,190,227,231,138,875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2071,292,26,0,0,480,140,225,221,258,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2877,140,14,90,1,268,240,235,121,1034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
2129,342,1,30,1,1340,217,237,157,1325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2793,201,26,216,110,1167,200,252,173,1742,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2781,31,6,60,4,1684,219,228,145,2458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2801,186,19,362,105,845,220,250,155,1926,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2214,159,28,170,89,1123,236,231,105,516,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
