issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
8,0,4,0,6818,0,139,107,6828,5,0,307,2,3811,10611,0,1,False
419,0,1,0,2932,0,124,646,3002,3,0,896,123,1716,4600,0,0,True
63,0,8,0,7276,0,142,81,7296,3,0,171,0,4286,11554,0,1,True
51,120,2,4,3127,0,125,777,3200,1,0,1019,298,1754,4866,0,2,True
23,0,1,0,2243,0,122,689,2369,1,0,953,7,1325,3691,0,0,True
4,0,1,0,881,3,87,529,973,2,1,836,2,267,1585,0,0,False
7,0,1,0,245,2,47,407,312,1,0,641,33,3,496,0,0,False
27,0,2,0,849,3,82,500,901,4,1,819,2,219,1510,0,0,False
9,0,1,0,1941,0,113,772,2069,1,0,1031,1,1130,3292,0,0,False
14,0,1,0,1575,0,105,707,1656,1,0,945,123,896,2739,0,0,False
4,0,2,0,5190,0,132,466,5257,1,0,724,15,2802,7807,0,0,True
64,30,2,1,3161,0,125,810,3253,1,0,1059,327,1758,4929,0,0,False
2,0,1,0,1847,0,109,759,1936,3,0,1042,216,1054,3118,0,0,True
10,9,1,1,229,0,45,411,288,1,0,641,22,3,462,0,0,False
2,0,1,0,4549,0,128,449,4590,1,0,641,1,2591,6827,0,0,True
4,0,1,0,881,3,87,529,973,1,0,834,1,268,1587,0,0,True
34,14,2,1,4146,0,127,405,4254,1,0,652,5,2303,6273,0,0,True
5,4,1,1,881,3,84,499,941,3,1,811,2,248,1554,0,0,False
3,0,2,0,5835,0,133,333,5883,1,0,534,0,2922,8748,0,0,True
10,4,3,2,4408,0,128,351,4465,1,0,532,19,2458,6609,0,0,False
68,0,2,0,667,0,71,461,732,1,0,757,6,95,1183,0,0,True
4,3,1,1,910,0,88,520,994,1,0,834,0,286,1625,0,0,True
31,0,2,0,1575,0,105,707,1656,2,0,944,123,895,2737,0,0,False
11,0,3,0,180,2,44,416,251,2,0,656,15,3,408,0,0,False
6,0,5,0,6919,0,140,111,6938,1,0,235,0,3933,10899,0,1,True
376,0,2,0,2956,0,124,657,3015,1,0,898,130,1716,4609,0,0,False
3,0,1,0,1642,0,107,755,1716,2,1,1006,164,944,2844,0,0,True
31,12,2,1,2540,0,124,599,2655,20,2,852,26,1556,4083,0,1,False
1610,74,24,52,1847,16,109,760,1936,59,35,1044,216,1054,3120,0,14,False
11,7,3,4,8297,0,149,116,8326,15,0,195,1,5393,13426,0,0,False
14,7,6,4,3878,0,127,580,4007,22,0,841,2,2170,5920,0,3,False
4,16,5,1,3483,121,127,793,3613,32,1,1080,1,1925,5395,0,2,False
78,16,7,12,712,0,75,498,792,53,1,808,6,123,1277,0,3,False
356,27,6,10,7165,0,142,127,7181,2,0,218,1,4183,11357,1,1,False
88,51,3,15,7693,0,143,95,7715,15,0,172,0,4746,12357,0,0,False
36,40,9,8,6775,0,139,123,6802,49,6,329,0,3772,10534,0,5,False
17,49,8,8,8503,0,149,34,8511,10,0,86,0,5612,13765,0,3,False
151,32,5,15,8259,0,149,122,8275,40,0,212,0,5343,13349,0,2,False
163,15,4,8,1327,0,103,529,1402,79,1,816,4,660,2300,0,2,False
54,23,10,14,1276,0,101,482,1351,13,0,790,3,607,2209,1,5,False
87,38,12,17,1611,0,106,741,1693,12,6,985,142,927,2809,0,6,False
503,40,9,21,3903,0,127,562,4020,3,0,818,2,2178,5935,0,5,False
49,14,2,7,8408,0,149,108,8429,11,0,215,0,5502,13601,0,0,False
32,10,4,11,8526,0,151,11,8536,3,0,15,0,5647,13826,0,0,False
10,32,6,8,1362,0,104,542,1439,26,2,837,4,699,2372,1,2,False
63,18,9,12,3386,0,125,844,3546,26,0,1094,1,1897,5311,1,4,False
142,21,6,5,494,0,66,387,564,31,0,658,4,10,894,0,3,False
11,0,2,0,1825,0,109,768,1921,76,10,1054,213,1042,3093,0,1,False
26,24,6,10,5600,0,133,438,5695,31,0,647,1,2854,8490,0,3,False
20,179,9,6,2607,0,124,559,2702,88,4,812,29,1582,4146,0,4,False
21,5,2,4,7819,0,145,146,7838,15,0,270,0,4889,12588,0,0,False
53,20,2,2,8461,44,149,58,8498,26,0,170,0,5569,13706,0,0,False
94,34,7,23,3972,0,127,522,4093,2,0,769,2,2218,6041,0,3,False
7,6,2,1,7088,0,141,121,7097,18,0,197,0,4102,11228,0,0,False
43,31,7,14,1750,42,108,779,1876,22,9,1058,197,1009,3022,0,3,False
144,27,8,6,1446,0,104,590,1511,7,2,853,16,774,2527,0,4,False
63,19,7,11,7036,0,140,125,7047,1,0,210,39,4055,11139,0,2,False
26,10,10,7,3901,0,127,563,4018,45,0,818,2,2178,5934,0,5,False
119,5,8,7,3583,0,127,750,3699,24,0,1033,1,1983,5513,0,4,False
117,23,8,10,1427,0,104,546,1479,40,8,834,8,746,2469,1,4,False
28,32,2,2,2362,0,124,633,2464,56,8,917,12,1406,3839,0,1,False
46,33,5,10,1197,0,99,469,1271,13,0,819,3,545,2086,0,2,False
37,18,6,5,1724,0,107,773,1856,55,6,1047,220,1001,2995,0,3,False
18,64,10,12,1150,0,98,487,1256,73,1,827,2,529,2048,0,4,False
290,25,7,13,999,0,90,500,1076,14,2,870,0,378,1786,0,3,False
14,18,2,2,1031,0,90,497,1118,122,2,851,0,403,1830,0,1,False
91,35,11,8,2275,35,124,691,2399,18,0,949,10,1349,3737,0,6,False
35,32,5,10,1320,0,103,527,1393,41,1,811,4,653,2283,0,2,False
34,18,10,9,6301,0,137,210,6366,2,0,461,0,3262,9561,0,6,False
37,17,4,9,4580,0,128,450,4620,38,2,645,1,2616,6868,0,1,False
20,22,5,7,8205,52,149,138,8228,63,0,219,0,5284,13265,0,2,False
20,18,5,13,7374,0,142,112,7383,21,0,205,0,4393,11761,0,1,False
11,5,4,2,1609,0,106,741,1686,76,10,987,141,919,2800,0,2,False
30,24,6,6,5084,19,131,386,5145,39,2,634,1,2787,7646,0,2,False
19,5,2,2,7750,0,144,82,7761,7,0,154,0,4794,12439,0,0,False
43,9,3,4,8164,52,149,138,8197,70,0,230,0,5256,13216,0,1,False
71,25,9,23,6439,0,137,149,6458,4,0,325,5,3416,9823,2,5,False
142,29,9,8,6379,0,137,154,6408,41,42,398,0,3321,9668,0,5,False
19,8,2,3,7530,0,143,128,7558,16,0,211,0,4581,12050,0,0,False
13,54,4,7,1512,0,105,668,1581,36,21,911,79,842,2642,0,1,False
33,44,24,29,6868,0,139,116,6883,3,0,239,2,3882,10784,0,15,False
63,28,9,14,6271,0,136,224,6337,1,0,469,0,3245,9530,0,4,False
26,26,7,8,1309,0,102,514,1380,4,2,804,3,642,2264,0,4,False
9,32,5,8,535,0,66,390,612,63,1,667,7,21,950,0,2,False
19,50,5,17,7147,0,142,121,7165,6,0,211,0,4167,11332,0,1,False
27,31,10,17,5762,0,133,351,5837,19,0,541,1,2897,8679,0,5,False
85,23,11,12,5910,0,133,283,5982,1,7,505,0,2986,8894,0,5,False
5,51,7,7,3452,0,125,798,3583,13,1,1079,1,1916,5366,0,3,False
7,79,4,10,7346,0,142,98,7358,18,0,177,0,4365,11700,0,0,False
72,28,9,6,642,0,67,393,667,34,1,722,7,52,1082,0,4,False
55,60,8,7,2962,0,124,652,3015,6,5,895,132,1716,4610,0,3,False
61,64,8,27,1252,0,100,456,1317,80,1,795,3,579,2155,1,4,False
30,61,16,25,5803,0,133,333,5850,11,0,540,1,2907,8710,0,9,False
12,3,1,1,7996,0,145,96,8008,54,0,149,1,5069,12906,0,0,False
57,34,5,6,8483,0,149,52,8503,11,0,134,0,5600,13751,0,2,False
193,7,2,1,2980,0,125,654,3025,47,34,867,143,1717,4623,0,1,False
25,14,2,2,1768,0,109,781,1881,82,10,1042,199,1022,3049,0,1,False
52,35,5,6,1215,0,99,460,1279,14,1,806,3,550,2096,0,2,False
5,139,12,24,983,0,89,489,1045,18,1,838,0,353,1738,0,5,False
107,56,5,23,7076,0,141,128,7096,1,0,203,0,4098,11218,0,0,False
5,0,2,0,1424,0,104,545,1478,66,10,829,8,745,2467,0,1,False
48,22,2,8,8135,0,149,141,8157,6,0,260,0,5218,13151,0,0,False
12,0,2,0,1477,0,104,628,1556,25,0,885,49,813,2600,0,1,False
10,26,5,7,7175,0,142,126,7186,26,1,218,1,4192,11369,0,0,False
68,63,9,16,8503,0,149,34,8511,2,0,91,0,5612,13765,0,5,False
75,103,15,29,4835,0,130,402,4928,25,0,640,1,2749,7291,0,8,False
81,17,7,8,6439,0,137,149,6459,8,0,325,5,3417,9828,0,4,False
18,74,7,17,1528,0,105,686,1601,77,10,927,91,855,2665,0,3,False
38,43,8,10,748,0,76,509,824,66,1,823,4,145,1339,1,4,False
12,32,9,13,5910,0,133,283,5982,10,0,506,0,2986,8894,0,4,False
31,44,3,9,7223,0,142,106,7237,4,0,232,1,4237,11454,0,0,False
41,35,9,13,6047,0,133,283,6084,16,0,502,33,3059,9056,0,4,False
55,59,3,10,7407,0,143,111,7425,1,0,191,0,4437,11832,0,0,False
64,21,7,7,1452,0,104,596,1519,20,17,853,20,779,2541,0,4,False
10,59,4,7,7109,0,142,126,7135,16,0,197,0,4138,11289,0,1,False
96,46,11,16,6851,0,139,113,6873,1,0,265,2,3865,10754,1,6,False
14,17,6,6,3634,0,127,727,3752,52,0,1027,1,2016,5580,0,2,False
41,1,4,2,1528,0,105,683,1601,78,10,925,90,854,2664,0,2,False
17,17,9,6,6675,0,138,146,6706,5,0,297,0,3666,10332,0,5,False
73,31,7,16,7759,0,144,76,7767,2,0,159,0,4799,12454,0,2,False
364,106,23,38,6442,0,137,157,6463,3,0,310,6,3423,9839,0,14,False
8,22,4,9,8259,0,149,122,8275,22,0,211,0,5343,13352,0,1,False
25,29,9,6,3467,0,126,797,3598,27,0,1076,1,1921,5382,0,4,False
24,18,2,2,1031,0,90,497,1118,128,2,857,0,403,1830,0,1,False
66,49,16,23,8457,0,149,62,8491,18,0,173,0,5563,13697,1,7,False
6,14,2,5,7524,0,143,124,7539,44,0,213,0,4567,12030,0,0,False
64,16,4,6,6920,0,140,114,6944,1,0,232,0,3935,10902,0,2,False
71,44,6,13,7093,0,141,121,7102,23,0,194,0,4109,11243,0,1,False
21,5,2,2,7663,0,143,105,7689,22,0,218,0,4723,12305,0,0,False
33,27,6,7,2009,0,116,764,2158,2,0,1034,1,1190,3398,0,2,False
90,13,2,1,7796,0,145,122,7810,46,0,236,0,4855,12532,0,0,False
38,48,9,23,2676,0,124,554,2786,4,0,798,4,1633,4257,1,4,False
14,14,10,9,3637,0,127,724,3753,51,0,1024,1,2018,5584,0,4,False
86,26,8,10,6024,0,133,265,6058,7,0,502,18,3048,9032,0,3,False
49,6,2,3,7999,0,145,103,8012,50,0,164,1,5078,12918,0,0,False
13,0,3,0,2306,0,124,670,2406,29,0,949,10,1362,3759,0,1,False
19,40,5,5,1077,0,91,501,1180,15,2,848,2,458,1927,0,2,False
5,40,5,9,7115,0,142,125,7142,13,0,199,0,4144,11299,0,0,False
16,9,3,4,7518,0,143,128,7531,19,0,218,0,4560,12021,0,1,False
6,17,7,6,4238,0,127,349,4316,1,0,590,6,2349,6381,0,3,False
33,13,8,7,6716,0,139,124,6744,7,0,307,0,3713,10409,0,4,False
117,46,9,8,2645,0,124,547,2743,2,0,792,28,1603,4198,0,4,False
63,30,10,7,6495,0,137,167,6521,5,4,313,42,3483,9968,0,5,False
320,6310,11,12,5684,0,133,399,5759,1,0,569,1,2869,8569,0,5,False
28,28,8,8,3431,0,125,810,3570,26,0,1077,1,1910,5349,0,4,False
81,27,6,3,4122,0,127,426,4237,18,1,668,5,2289,6233,0,2,False
71,45,7,12,2031,0,117,759,2168,25,1,1036,1,1203,3423,0,3,False
21,11,4,5,8291,54,149,117,8323,55,0,199,1,5391,13422,0,1,False
325,28,8,9,1035,0,90,497,1126,2,0,847,0,413,1842,0,4,False
9,47,7,13,1054,0,90,498,1144,102,3,841,0,427,1874,0,3,False
28,16,7,13,3641,0,127,720,3762,14,1,1012,1,2020,5590,0,3,False
42,16,7,13,6174,0,133,264,6190,10,7,534,129,3135,9283,0,3,False
59,26,5,5,1641,0,107,756,1716,13,18,1009,165,942,2842,0,2,False
58,18,7,14,1295,0,102,521,1365,90,1,820,3,628,2242,0,3,False
80,17,8,8,5888,0,133,300,5962,15,0,517,0,2980,8876,0,4,False
45,37,7,21,8516,0,149,21,8518,1,0,30,0,5634,13808,0,2,False
129,26,2,6,8424,73,149,94,8441,32,0,210,0,5515,13627,0,0,False
27,38,13,27,5762,0,133,351,5837,18,0,540,1,2897,8679,0,6,False
17,57,9,7,6507,0,137,158,6527,31,42,307,43,3487,9986,0,5,False
75,32,8,8,6669,0,137,137,6682,2,0,297,0,3650,10307,0,5,False
20,21,5,10,8176,0,149,137,8209,37,0,215,0,5263,13230,0,0,False
206,19,10,10,6425,0,137,153,6451,2,0,347,4,3398,9799,0,5,False
33,34,12,22,2565,0,124,587,2668,30,0,839,27,1565,4107,0,5,False
16,19,8,5,6838,0,139,120,6863,34,10,278,2,3851,10723,0,4,False
141,3,2,2,7537,0,143,122,7560,2,0,212,0,4584,12053,0,0,False
105,56,10,11,7003,0,140,107,7021,1,0,226,14,4017,11068,0,5,False
61,28,5,5,8478,0,149,54,8503,13,0,151,0,5595,13745,0,0,False
42,82,4,4,8413,0,149,103,8433,23,0,214,0,5507,13609,0,1,False
48,25,11,18,4551,0,128,455,4600,27,0,639,1,2600,6841,1,5,False
21,28,12,14,2712,0,124,565,2819,91,4,803,4,1658,4315,0,6,False
24,31,5,7,1391,0,104,544,1457,5,0,837,5,719,2413,0,2,False
41,18,8,7,6458,0,137,151,6471,5,0,305,10,3439,9871,0,4,False
8,3,2,1,2587,0,124,567,2683,38,9,823,27,1572,4123,0,1,False
24,13,4,4,7319,0,142,80,7329,11,0,160,0,4333,11643,0,0,False
7,22,11,21,1430,0,104,561,1485,30,10,831,8,748,2480,0,5,False
