issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
15,0,2,0,3473,15,153,845,3581,9,8,49,41,1399,1554,0,0,False
116,29,6,30,599,0,68,683,720,3,3,424,309,300,395,0,15,False
19,8,5,5,1654,5,114,743,1749,5,4,442,411,823,970,0,0,False
105,26,3,3,3367,0,152,846,3535,2,1,58,52,1395,1550,0,2,False
35,277,4,5,529,228,60,700,602,23,19,413,300,236,317,0,3,False
159,42,7,9,1282,63,102,694,1388,17,13,363,290,667,809,0,8,False
301,7,7,8,1828,0,120,881,1919,24,23,440,402,904,1054,0,5,False
38,8,6,4,287,2,41,469,301,3,0,288,189,93,144,0,0,True
10,139,7,12,784,2,78,630,943,3,2,389,269,411,510,0,12,True
156,24,8,16,1205,0,96,623,1237,1,0,347,248,579,695,0,11,False
461,15,5,3,2955,0,149,1065,3352,10,8,77,69,1367,1522,0,0,False
65,39,7,13,1828,0,120,873,1918,19,17,441,399,903,1053,0,15,False
65,16,5,3,691,181,75,689,850,9,8,412,309,366,464,0,3,False
60,36,9,12,1237,1,100,682,1316,8,4,361,272,631,767,0,10,False
26,8,3,1,2608,0,140,1165,2727,9,1,151,131,1301,1456,0,0,False
442,0,4,0,7478,0,272,1467,7679,1,0,23,14,1533,1689,0,0,False
8,95,4,2,877,0,83,650,1002,2,1,384,262,444,543,0,3,False
70,25,5,7,1226,6,98,650,1282,13,12,362,267,605,731,0,8,False
51,11,2,2,1232,1,98,660,1285,10,4,359,263,615,745,0,2,False
21,8,2,1,2370,0,134,1200,2516,11,9,203,186,1236,1391,0,0,True
67,29,5,21,1753,0,117,841,1832,4,2,441,415,866,1013,0,14,False
7,27,12,7,1314,17,104,766,1417,20,17,372,322,679,822,0,9,False
73,39,8,8,1754,8,117,846,1840,5,3,443,417,872,1019,0,7,False
46,8,2,1,2375,0,134,1197,2517,33,32,200,183,1238,1393,0,0,False
113,33,5,6,165,0,23,234,240,2,0,157,66,61,93,0,9,False
36,26,6,12,1095,49,93,644,1193,22,18,367,246,552,658,0,13,False
13,79,6,45,878,0,83,650,1003,2,1,381,259,445,544,0,15,False
14,7,3,4,2545,18,139,1206,2690,11,11,164,152,1292,1447,0,1,False
171,196,6,7,1237,0,100,682,1318,7,2,360,273,633,769,0,3,False
197,126,6,13,1295,63,103,755,1405,14,13,374,315,675,818,0,3,False
115,216,7,32,1026,55,91,661,1169,16,15,378,271,528,631,0,15,False
142,128,7,13,1173,0,95,617,1228,3,1,351,239,567,679,0,10,False
26,149,6,13,899,0,85,639,1017,26,17,381,259,455,555,0,15,False
115,136,5,10,698,77,76,682,851,21,20,413,306,371,469,0,15,False
8,8,3,1,2323,0,133,1221,2454,5,4,224,204,1226,1381,0,0,False
149,61,4,3,1135,20,93,631,1210,10,8,361,241,558,669,0,1,False
67,8,5,5,2233,0,131,1261,2388,19,18,263,247,1205,1360,0,5,False
45,7,3,1,3455,0,153,847,3570,1,0,52,46,1399,1554,0,0,False
21,24,7,20,1421,0,107,788,1567,1,0,434,395,742,887,0,3,False
174,17,2,4,361,0,48,710,480,7,4,388,301,162,230,0,2,False
92,11,5,5,2437,0,135,1183,2615,1,0,184,172,1272,1427,0,3,False
39,24,8,9,527,0,57,686,570,6,3,415,299,214,293,0,6,False
75,16,4,3,2416,0,135,1203,2608,1,0,188,173,1261,1416,0,2,False
139,19,4,2,474,15,55,715,531,25,16,428,297,193,269,0,0,False
101,3,7,5,1467,0,111,768,1640,16,15,439,399,765,910,0,4,False
25,0,2,0,4903,0,195,1278,5057,4,0,26,19,1465,1620,0,0,False
119,40,4,20,324,5,45,642,373,6,5,366,265,129,194,0,15,False
39,28,6,15,523,8,57,689,562,9,6,416,300,210,289,0,13,True
41,19,6,3,1024,56,91,660,1166,17,15,380,270,527,630,0,4,False
33,12,6,6,1629,0,113,759,1736,1,0,454,415,807,954,0,4,False
10,8,3,1,1919,18,123,938,2084,6,1,431,399,989,1141,0,0,False
4,14,9,43,1711,82,116,806,1786,14,14,446,414,844,991,0,15,True
33,8,4,1,2161,19,125,1128,2219,31,21,300,270,1119,1274,0,0,False
54,180,7,9,646,24,72,686,810,24,19,430,315,343,440,0,8,False
31,42,3,2,883,0,83,646,1003,6,4,382,259,447,546,0,3,False
1,11,2,1,2737,0,141,1202,2892,1,0,111,102,1334,1489,0,0,False
41,475,4,3,513,0,55,697,558,7,5,420,299,203,280,0,1,True
15,6,4,2,2389,0,135,1216,2549,3,1,198,182,1250,1405,0,0,True
30,4,21,13,560,31,67,700,683,28,27,425,312,285,378,0,15,False
10,60,9,26,1158,1,93,611,1212,1,0,351,233,561,672,0,13,False
303,48,4,5,1232,65,98,667,1294,19,13,359,266,616,748,0,6,False
1,0,6,0,11195,0,332,2257,11652,1,0,3,1,1548,1709,0,0,False
15,31,9,22,1739,93,116,806,1821,45,41,442,413,856,1003,0,14,False
213,18,3,4,2854,0,144,1160,2990,1,0,89,83,1352,1507,0,3,False
40,13,3,3,2263,0,132,1260,2407,15,9,253,229,1213,1368,0,0,False
118,36,6,3,533,18,63,702,607,11,9,418,305,240,330,0,7,False
195,5,6,5,1828,0,120,881,1919,18,17,439,402,905,1055,0,0,True
51,28,2,1,234,101,29,266,258,31,24,160,74,71,105,0,1,False
15,5,5,5,1581,8,113,806,1727,10,8,462,425,803,950,0,0,False
40,12,5,7,1683,0,114,773,1778,6,3,444,412,835,982,0,1,False
41,110,5,12,960,12,86,620,1047,19,7,379,260,470,570,0,10,False
60,11,3,4,1423,42,109,791,1577,9,8,435,398,749,894,0,1,False
17,8,3,1,2263,0,132,1260,2407,45,44,254,229,1213,1368,0,0,False
11,52,5,3,1973,61,123,961,2176,20,20,407,382,1078,1231,0,0,False
21,22,5,3,1095,49,93,644,1193,23,18,368,246,552,658,0,5,False
10,8,3,1,2189,11,128,1169,2287,22,11,289,258,1158,1313,0,0,False
64,8,3,1,2266,0,132,1257,2409,43,42,250,227,1213,1368,0,0,False
42,26,5,11,901,7,85,639,1020,17,10,377,259,456,556,0,8,False
70,205,6,9,657,23,72,678,812,22,19,430,310,343,440,0,14,False
84,7,7,6,2524,0,138,1191,2668,1,0,173,159,1286,1441,0,3,False
64,305,9,8,1193,28,96,622,1234,10,10,347,244,577,691,0,12,False
143,117,8,7,963,63,87,618,1067,19,18,379,262,478,579,0,14,False
27,0,2,0,3486,14,155,870,3603,8,4,47,36,1403,1558,0,0,False
130,7,5,11,1388,49,105,788,1514,12,10,423,388,715,859,0,0,False
34,6,6,17,1606,17,113,781,1728,8,7,458,418,805,952,0,2,False
9,10,6,12,1367,12,105,801,1479,17,15,423,386,705,849,0,3,False
23,2,3,1,3446,1,152,827,3554,1,0,54,46,1398,1553,0,0,False
5,3,4,1,1993,135,123,964,2189,109,101,398,370,1083,1237,0,0,False
30,8,3,1,2189,11,128,1169,2287,19,11,286,258,1158,1313,0,0,False
68,14,5,24,1846,0,120,944,1942,3,2,446,410,917,1069,0,9,False
23,13,4,19,2403,5,135,1212,2595,12,9,192,177,1257,1412,0,5,True
187,62,8,8,1898,3,123,938,2041,5,4,438,401,970,1122,0,13,False
35,55,8,16,1786,0,119,877,1881,6,5,448,420,891,1038,0,4,True
5,12,3,1,2410,5,135,1207,2600,11,8,192,174,1260,1415,0,0,False
21,15,4,3,1003,0,90,670,1150,4,3,387,279,520,623,0,1,False
147,5,5,5,1651,15,114,746,1749,6,5,444,411,823,970,0,1,False
51,461,5,3,745,0,77,650,877,27,19,406,283,382,481,0,5,False
105,4,4,2,2192,0,129,1235,2328,2,0,281,261,1176,1331,0,0,False
8,8,4,13,1665,0,114,760,1760,33,31,447,417,828,975,0,1,False
8,40,6,9,829,0,79,607,965,9,3,383,254,420,519,0,4,False
6,22,5,3,2410,5,135,1207,2600,10,8,191,174,1260,1415,0,1,False
14,43,5,8,1528,0,113,767,1672,5,3,451,406,783,930,0,4,False
26,3,5,4,1544,32,113,794,1684,9,7,456,414,792,939,0,0,False
174,28,5,13,361,0,48,710,480,8,5,389,302,162,230,0,4,False
37,39,7,6,585,226,68,687,695,17,15,416,308,296,389,0,3,False
25,20,6,11,1709,4,116,806,1783,7,6,444,411,841,988,0,9,False
22,38,6,4,3358,6,152,835,3534,4,2,60,52,1394,1549,0,3,False
26,35,5,11,81,0,11,237,136,1,0,139,62,16,34,0,6,False
11,7,2,2,1902,0,123,943,2055,2,1,433,403,979,1131,0,0,False
33,0,1,0,168,19,23,235,241,19,12,158,64,61,93,0,0,False
45,10,3,1,4905,0,195,1276,5057,1,0,23,19,1465,1620,0,0,False
12,45,6,13,1680,6,114,775,1778,2,1,445,413,834,981,0,3,False
54,22,6,4,251,21,31,277,263,14,10,164,78,72,108,0,6,False
59,21,6,11,659,0,72,676,820,4,3,428,308,346,443,0,11,False
69,0,2,0,3345,0,152,832,3529,4,2,66,58,1393,1548,0,0,False
33,5,5,4,1389,49,105,787,1516,11,10,424,390,717,861,0,0,False
120,134,6,7,87,18,13,241,165,18,16,143,64,23,46,0,7,False
12,3,4,1,2161,19,125,844,2219,52,21,321,270,1116,1271,0,0,False
14,8,5,10,1701,0,116,808,1783,6,5,448,416,841,988,0,4,False
97,70,9,25,2463,0,136,1194,2652,14,13,177,167,1278,1433,0,13,False
35,10,5,3,961,0,87,620,1060,1,0,380,262,476,576,0,0,True
31,8,3,1,2307,236,133,1234,2448,7,6,226,206,1225,1380,0,0,False
136,114,5,12,1107,27,93,637,1205,24,18,366,250,554,664,0,10,False
104,111,6,10,629,211,72,693,795,13,12,435,320,341,438,0,8,False
71,8,4,1,2358,0,134,1196,2507,13,12,211,190,1233,1388,0,1,False
70,59,9,19,297,40,43,570,329,29,26,337,234,103,162,0,15,False
114,56,5,13,251,0,32,278,264,1,0,168,80,73,111,0,9,False
38,15,4,7,1837,0,120,875,1919,4,2,436,403,909,1061,0,1,False
12,29,6,11,1110,0,93,643,1205,17,12,362,250,555,665,0,10,False
45,5,3,1,2732,7,141,1205,2891,7,6,112,101,1334,1489,0,1,False
69,13,7,3,2609,46,140,1164,2727,3,2,146,130,1302,1457,0,5,False
172,5,5,2,1976,0,123,969,2176,49,49,403,379,1078,1231,0,0,False
161,261,5,7,400,51,53,726,505,23,22,406,309,173,244,0,8,False
49,30,4,6,3321,0,152,844,3523,1,0,70,62,1393,1548,0,5,True
34,48,6,25,279,0,40,389,294,1,0,236,140,89,136,0,11,False
89,58,5,39,289,0,41,483,309,3,3,295,196,94,148,0,15,False
32,13,5,2,2161,19,125,844,2219,78,21,346,269,1116,1271,0,0,False
6,18,4,7,2533,20,138,1209,2675,14,13,172,157,1286,1441,0,3,False
45,0,1,0,671,0,72,668,826,33,24,417,302,350,447,0,0,False
109,24,2,4,1173,17,95,610,1228,5,4,348,234,567,679,0,2,False
57,13,3,3,779,0,78,630,923,22,15,389,269,407,506,0,4,False
141,197,6,7,1237,0,100,682,1316,12,5,362,272,631,767,0,2,False
12,10,4,2,2161,19,125,844,2219,86,21,354,269,1116,1271,0,0,False
18,4,5,8,1319,33,105,764,1421,11,7,370,322,684,827,0,3,False
40,22,8,13,538,69,65,700,628,33,30,418,305,248,339,0,13,False
142,84,6,4,1189,0,95,602,1229,12,8,345,239,569,681,0,2,True
42,28,5,3,4975,0,196,1274,5285,1,0,23,20,1465,1620,0,0,False
10,50,3,3,2732,16,141,1205,2891,8,8,113,101,1334,1489,0,7,False
31,305,8,9,1098,50,93,641,1203,13,12,365,246,553,661,0,15,False
44,131,9,10,4832,0,195,1305,5025,1,0,30,23,1464,1619,0,3,False
9,1,4,1,784,40,78,630,945,29,21,388,269,412,511,0,2,False
117,51,5,25,268,0,38,335,289,2,0,203,111,88,134,0,14,False
3,0,1,0,166,19,23,237,241,20,13,159,67,61,93,0,0,False
108,55,7,6,3352,175,152,837,3532,1,1,62,56,1394,1549,0,6,False
1138,103,7,20,815,0,78,615,961,3,2,390,259,418,517,0,15,False
27,0,2,0,4147,0,176,1471,4382,2,1,41,37,1436,1591,0,0,False
11,8,2,2,2516,0,137,1186,2662,7,5,174,163,1284,1439,0,0,False
84,4,4,2,352,270,47,695,472,36,32,393,299,153,221,0,0,False
3,3,6,5,1843,81,120,944,1940,34,31,446,412,914,1066,0,0,False
122,30,4,13,2205,0,129,1226,2353,1,0,280,257,1186,1341,0,3,False
53,8,3,1,2291,16,133,1246,2438,1,0,236,213,1224,1379,0,0,False
16,29,5,5,3938,1,161,1130,4015,1,0,48,38,1419,1574,0,0,False
61,16,1,1,355,0,47,700,473,10,5,392,302,155,223,0,0,False
94,13,8,5,1055,0,93,672,1188,5,5,375,259,545,651,0,5,False
17,18,5,2,2161,19,125,844,2219,81,21,349,269,1116,1271,0,0,False
82,19,5,11,82,3,11,243,147,5,2,141,64,18,38,0,6,False
8,21,3,3,2437,0,135,1183,2615,4,3,183,172,1272,1427,0,0,False
63,15,2,4,2798,0,142,1172,2923,2,0,106,98,1338,1493,0,2,False
25,14,5,8,1828,0,120,874,1918,29,25,441,400,903,1053,0,1,False
42,10,4,2,2161,19,125,844,2219,72,21,340,269,1116,1271,0,0,False
66,5,6,6,1815,0,120,873,1899,25,23,441,411,896,1044,0,2,False
18,28,4,2,993,30,88,668,1122,28,21,388,272,508,611,0,0,False
16,18,6,6,1397,0,105,792,1528,5,4,433,397,720,864,0,0,False
15,44,8,7,1154,0,93,613,1212,14,8,352,235,561,672,0,10,False
18,13,3,2,345,48,47,664,423,26,23,382,288,144,212,0,1,False
47,15,8,12,1276,0,102,683,1385,15,15,363,282,664,806,0,6,False
16,8,3,1,2597,0,140,1171,2713,25,24,154,135,1299,1454,0,0,False
82,9,3,2,4903,0,195,1277,5057,5,0,27,19,1465,1620,0,0,False
35,21,3,3,1828,0,120,875,1919,1,0,441,401,904,1054,0,0,False
17,4,5,2,2058,11,123,929,2205,3,2,374,347,1102,1256,0,0,False
26,15,5,6,1577,0,113,798,1711,12,10,461,422,801,948,0,4,False
18,11,2,4,2410,5,135,1207,2600,9,8,190,174,1260,1415,0,0,False
24,23,4,5,287,35,41,469,301,13,12,286,188,93,144,0,3,False
17,5,6,6,1767,20,117,857,1846,12,11,453,422,874,1021,0,0,False
63,13,4,5,2304,3,133,1237,2444,4,2,232,209,1224,1379,0,3,False
80,19,4,3,400,0,53,726,505,6,3,407,309,173,243,0,2,False
25,8,4,1,2161,19,125,844,2219,82,21,350,269,1116,1271,0,0,False
123,7,2,1,148,0,23,251,231,3,0,160,72,48,77,0,0,False
57,9,3,4,1781,1,119,870,1869,5,3,449,416,886,1033,0,1,False
45,25,10,13,1357,0,105,804,1439,8,1,419,374,690,833,0,13,False
13,12,5,3,2171,0,127,1141,2253,14,13,285,260,1134,1289,0,0,False
13,38,7,7,1233,0,98,666,1294,8,6,357,266,617,749,0,4,False
137,132,9,12,1084,50,93,648,1193,14,12,366,246,549,655,0,15,False
60,23,5,6,3514,0,156,868,3614,2,0,45,36,1403,1558,0,7,False
78,24,6,18,1698,15,116,811,1783,7,6,449,415,840,987,0,15,False
8,29,5,3,863,0,83,664,995,26,18,388,267,439,538,0,4,False
19,6,4,2,2189,11,128,1169,2287,21,11,288,258,1158,1313,0,0,False
14,14,6,20,1744,0,117,823,1828,3,2,440,415,862,1009,0,8,False
35,21,6,3,1001,0,90,665,1147,9,4,388,276,514,617,0,1,False
21,17,5,5,1147,1,93,619,1212,1,0,355,237,561,672,0,3,False
43,28,5,10,1869,0,121,931,1957,7,6,439,406,932,1084,0,0,False
24,40,5,8,2093,83,124,903,2217,91,78,361,327,1110,1265,0,2,False
64,153,7,13,644,87,72,688,808,26,25,433,315,343,440,0,13,False
39,309,6,5,570,0,67,699,690,6,3,420,311,294,387,0,5,False
9,8,4,1,1993,135,123,964,2189,106,101,395,370,1083,1237,0,0,False
27,12,5,1,2033,59,123,939,2191,17,16,391,366,1094,1248,0,1,False
8,20,7,18,361,7,48,710,480,10,7,392,302,162,230,0,15,False
521,7,5,2,2365,0,134,1202,2509,12,11,208,186,1235,1390,0,3,False
112,15,4,8,1282,0,102,711,1394,1,0,370,302,670,812,0,2,False
32,8,3,1,2609,0,140,1164,2728,3,1,143,130,1302,1457,0,0,False
26,12,5,8,2662,0,141,1156,2816,1,0,131,119,1321,1476,0,6,False
66,28,7,13,1780,0,119,867,1868,26,25,451,417,886,1033,0,6,False
10,8,4,1,2169,0,127,1141,2246,20,17,287,262,1132,1287,0,0,False
270,52,9,11,1401,0,106,791,1538,15,13,432,398,728,872,0,13,False
124,66,6,19,148,0,23,251,230,4,1,161,73,48,77,0,9,False
47,175,7,4,667,83,72,669,825,23,22,422,307,350,447,0,7,False
5,10,5,2,2095,49,124,901,2217,14,12,360,326,1110,1265,0,0,False
87,44,6,4,863,0,83,664,995,3,1,389,267,439,538,0,5,False
10,306,4,5,1008,0,91,667,1159,1,0,382,278,524,627,0,3,False
14,117,4,2,941,13,85,620,1042,21,7,374,254,465,565,0,2,False
44,5,4,2,2353,0,134,1201,2463,1,0,213,192,1231,1386,0,1,False
46,54,4,2,756,0,77,643,883,5,2,398,282,386,485,0,0,False
69,18,6,7,271,7,38,336,289,1,0,210,113,89,135,0,4,False
54,28,7,10,2853,3,144,1161,2990,3,2,90,83,1352,1507,0,6,False
9,11,3,2,3556,41,156,928,3676,2,1,43,35,1408,1563,0,0,False
38,9,6,18,1673,0,114,765,1767,32,30,447,413,829,976,0,2,False
228,19,5,9,234,101,29,266,258,29,24,158,74,71,105,0,2,False
17,518,2,3,307,49,45,586,345,29,27,344,240,112,173,0,0,False
72,71,6,13,522,0,57,690,562,3,2,417,300,210,289,0,11,False
18,5,5,3,418,1,55,732,519,6,5,414,314,181,253,0,0,False
42,28,6,9,1418,13,107,791,1566,4,3,435,395,741,886,0,3,False
22,15,4,7,1551,11,113,792,1687,13,12,460,417,793,940,0,3,False
45,10,3,2,2279,242,133,1251,2437,11,8,238,215,1222,1377,0,0,False
14,12,2,1,2265,0,132,1258,2407,9,8,251,228,1213,1368,0,0,False
356,33,8,14,1527,34,112,742,1666,8,7,445,400,783,930,0,12,False
84,40,8,31,1105,32,93,636,1203,9,8,362,246,553,662,0,15,False
25,10,6,8,1828,0,120,873,1918,29,24,442,399,903,1053,0,1,False
46,12,4,1,2161,19,125,1128,2219,30,21,299,270,1119,1274,0,0,False
5,8,6,8,1807,75,119,869,1898,36,34,444,414,894,1042,0,0,False
21,8,6,67,2017,111,123,940,2189,104,100,396,372,1092,1246,0,5,False
41,4,3,2,849,0,81,636,976,1,2,387,265,431,530,0,0,False
24,211,4,3,756,42,77,643,892,30,22,396,282,389,488,0,1,False
15,10,5,9,1272,0,102,680,1380,1,0,366,281,658,800,0,4,False
8,8,3,1,2280,0,133,1250,2437,8,7,237,215,1222,1377,0,0,False
11,359,5,5,970,30,87,674,1105,14,8,386,272,499,601,0,1,False
25,8,3,1,1940,63,123,974,2161,27,26,424,399,1063,1215,0,0,False
287,73,5,10,1110,26,93,643,1205,22,18,363,250,555,665,0,14,False
30,50,7,23,257,4,35,274,270,1,0,167,80,77,118,0,15,False
14,12,3,1,2554,0,139,1199,2701,4,3,160,149,1293,1448,0,0,False
8,8,3,1,2609,0,140,1164,2727,8,1,149,130,1302,1457,0,0,False
71,11,7,3,1282,0,102,711,1394,2,0,367,302,670,812,0,3,True
24,16,2,2,1975,0,123,970,2176,18,17,404,380,1078,1231,0,0,False
18,12,4,1,2161,19,125,844,2219,43,21,312,270,1116,1271,0,0,False
17,12,4,1,2161,19,125,844,2219,56,21,325,270,1116,1271,0,0,False
25,8,3,1,2212,0,130,1253,2372,53,52,279,255,1199,1354,0,0,False
18,60,7,22,978,1,87,671,1107,2,1,386,273,502,604,0,13,False
907,52,5,11,5740,0,213,1049,5939,1,0,20,13,1482,1637,0,1,False
43,13,6,5,599,0,68,683,720,4,3,423,309,301,396,0,2,False
21,1,5,3,1899,0,123,937,2041,2,1,437,401,970,1122,0,0,False
101,8,2,2,1534,0,113,763,1675,2,2,446,404,787,934,0,0,False
60,195,7,19,657,23,72,678,812,21,19,429,310,343,440,0,15,False
1,2,2,2,2895,0,144,1120,3282,1,0,85,80,1353,1508,0,0,False
240,0,2,0,4226,7,179,1444,4458,2,1,41,36,1441,1596,0,0,False
80,8,7,7,1846,0,120,944,1942,1,0,446,411,917,1069,0,2,False
26,12,4,1,2161,19,126,1128,2221,25,21,294,270,1121,1276,0,0,False
27,8,3,1,2609,0,140,1164,2727,4,1,144,130,1302,1457,0,0,False
43,13,8,106,1417,53,107,791,1566,23,20,436,396,741,886,0,14,False
38,4,5,2,1956,0,123,970,2171,51,51,411,388,1071,1224,0,0,False
23,35,7,17,1528,0,113,767,1671,2,1,452,406,783,930,0,12,False
63,11,5,4,1827,0,120,874,1917,30,24,444,403,901,1051,0,0,False
118,7,1,1,533,18,63,702,607,10,8,417,304,240,330,0,0,False
47,10,2,2,2176,0,128,1163,2266,2,1,286,263,1148,1303,0,0,True
25,18,5,15,2540,42,138,1210,2688,6,5,165,153,1289,1444,0,3,False
205,122,6,15,257,0,36,281,272,4,1,174,88,79,121,0,14,False
10,0,2,0,4884,0,195,1289,5051,1,0,29,22,1464,1619,0,0,False
41,8,4,1,2161,19,125,1128,2219,26,21,295,270,1121,1276,0,0,False
16,8,3,1,2318,0,133,1226,2450,39,38,225,205,1226,1381,0,0,False
10,12,4,1,2161,19,125,844,2219,59,21,328,270,1116,1271,0,0,False
117,85,6,6,2255,0,132,1266,2402,17,16,258,239,1210,1365,0,4,False
9,45,6,5,253,0,34,278,267,1,0,168,80,76,117,0,1,False
96,45,4,2,490,15,55,713,531,22,14,424,304,193,270,0,2,False
7,1,3,1,2963,9,149,1078,3366,6,5,72,66,1372,1527,0,0,False
72,13,1,1,519,0,55,693,560,1,0,420,300,206,283,0,0,False
34,16,6,8,1741,94,116,823,1827,44,40,443,416,859,1006,0,7,False
10,39,8,43,1170,0,94,613,1225,13,8,353,234,563,675,0,15,False
111,26,8,39,1581,0,113,806,1725,1,0,463,425,803,950,0,15,False
26,12,4,1,2161,19,125,844,2219,75,21,343,269,1116,1271,0,0,False
69,16,5,9,771,31,77,630,899,21,18,392,274,393,492,0,8,False
38,16,2,3,747,0,77,649,877,10,3,402,283,382,481,0,3,False
44,8,2,2,1384,0,105,790,1502,3,1,420,384,709,853,0,0,False
25,11,5,3,489,238,55,714,531,26,21,425,304,193,270,0,3,False
40,623,4,2,844,1,80,620,966,3,3,386,263,425,524,0,0,False
27,71,6,8,3337,173,152,838,3523,2,1,69,59,1393,1548,0,8,False
77,5,5,5,1727,19,116,806,1799,6,4,445,413,851,998,0,0,False
68,8,4,1,1919,18,123,939,2085,4,1,429,399,990,1142,0,0,False
8,11,8,20,1673,2,114,765,1767,1,0,446,413,829,976,0,3,False
72,484,5,3,690,3,75,677,849,11,4,410,307,365,463,0,2,False
66,7,4,4,1868,0,121,930,1948,3,1,438,403,924,1076,0,0,False
15,12,4,2,2226,6,130,1262,2387,7,4,266,250,1204,1359,0,0,False
141,23,6,29,1741,1,116,812,1827,2,1,442,414,857,1004,0,15,False
