issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
54,1,3,2,1,0,1,0,1,1,0,1,0,5,6,0,1,False
171,65,8,17,9334,0,62,928,9521,1,0,160,0,1076,1455,0,0,False
146,23,4,2,13149,0,73,0,13149,1,0,103,0,1651,2077,0,0,False
104,23,2,5,3969,0,41,674,4070,7,2,52,19,396,580,0,0,False
103,8,4,3,8320,0,58,1078,8484,3,0,120,0,977,1345,0,0,False
424,59,9,30,9279,0,62,896,9375,1,0,161,0,1060,1437,0,0,False
40,1,2,1,245,0,12,13,248,1,0,10,3,150,220,0,0,False
77,83,2,4,717,0,21,253,796,2,2,26,9,213,308,0,0,False
234,31,4,7,10492,0,65,924,10695,1,0,81,0,1219,1637,0,0,False
107,22,6,10,8545,0,59,1132,8679,1,0,117,0,991,1363,0,0,False
84,20,2,1,2418,0,32,607,2484,1,0,63,28,304,448,0,0,False
23,14,3,4,3618,0,38,726,3648,15,11,56,27,375,546,0,0,False
31,11,2,1,13149,0,73,0,13149,1,0,54,0,1924,2353,0,0,False
67,42,3,3,13149,0,73,0,13149,1,0,116,0,1534,1960,0,0,False
281,50,3,1,12088,0,69,1059,12219,1,0,101,0,1367,1792,0,0,False
185,4,3,1,6376,0,50,439,6419,1,0,75,0,692,973,0,0,False
107,9,3,2,4037,0,41,626,4126,3,0,47,17,397,583,0,0,False
79,56,4,8,11376,0,68,988,11532,6,0,113,0,1291,1714,0,0,False
140,18,3,1,10478,0,65,912,10678,3,0,85,0,1218,1635,0,0,False
21,8,2,1,13149,0,73,0,13149,4,0,73,0,1902,2330,0,0,False
157,35,3,2,8057,0,57,809,8129,1,0,95,0,938,1299,0,0,False
136,42,2,5,5981,0,47,254,6038,1,0,71,0,621,882,0,0,False
66,11,2,1,11516,0,68,1055,11714,3,0,115,0,1305,1728,0,0,False
135,4,4,2,13149,0,73,0,13149,4,0,112,0,1524,1950,0,0,False
168,31,3,6,13149,0,73,0,13149,6,0,124,0,1794,2222,0,0,False
76,12,4,3,7934,0,57,727,8048,1,0,86,0,927,1285,0,0,False
25,13,3,3,12329,0,69,820,12524,2,0,90,0,1402,1828,0,0,False
301,39,3,7,12621,0,70,528,12731,1,0,83,0,1413,1839,0,0,False
151,1,3,1,132,0,6,0,132,1,0,20,2,63,91,0,1,False
32,5,3,3,11746,0,68,959,11951,1,0,102,0,1328,1751,0,0,False
42,17,2,1,2511,0,32,722,2600,12,2,54,22,315,461,0,0,False
238,16,3,4,7597,0,54,327,7680,1,0,83,0,861,1201,0,0,False
19,14,1,1,5359,0,43,422,5423,10,0,78,22,522,743,0,0,False
59,4,4,1,6023,0,47,223,6074,2,0,68,0,625,888,0,0,False
