issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
56,128,11,31,2414,0,34,275,2429,47,10,108,34,1214,1743,0,5,False
289,35,2,1,12036,0,43,1191,12224,4,1,363,207,3588,4408,0,0,False
40,15,2,1,10443,0,42,1402,10777,9,5,371,245,3186,3982,0,0,False
1485,56,3,1,19400,0,46,777,19540,2,0,180,112,5048,5948,0,0,False
24,35,5,8,17538,0,46,781,17644,4,9,201,112,4601,5483,0,1,False
392,53,4,3,21945,0,47,716,22067,1,0,288,122,5792,6731,0,1,False
51,29,5,9,8322,0,42,1374,8563,4,1,301,165,2756,3508,0,1,False
14,94,3,3,13281,0,44,1232,13494,3,1,234,148,3994,4848,0,1,False
141,62,5,35,19966,0,46,894,20075,2,1,249,136,5162,6066,0,0,False
25,9,2,1,7844,0,42,1115,7983,24,16,264,178,2612,3356,0,0,False
48,12,2,2,11875,0,42,1165,12002,2,1,344,204,3535,4351,0,0,False
56,10,2,2,3952,0,37,525,4089,17,10,176,83,1679,2306,0,0,False
103,37,3,11,5692,0,42,929,5792,1,0,149,82,2229,2921,3,1,False
73,20,7,8,1570,0,29,375,1623,5,2,148,32,891,1333,0,3,False
55,118,4,3,2479,0,34,276,2547,2,7,97,26,1239,1777,0,2,False
76,20,2,1,8457,0,42,1321,8735,33,27,265,128,2810,3563,0,0,False
45,54,4,9,1080,0,27,302,1104,10,11,269,107,672,1006,0,2,False
97,266,2,4,22154,0,47,744,22310,6,6,286,120,5846,6792,0,0,False
138,21,3,2,5411,0,41,424,5447,1,0,97,50,2162,2839,0,0,False
109,5,4,2,20244,0,46,994,20367,15,17,263,155,5267,6179,0,0,False
34,13,1,4,17805,0,46,887,17908,10,15,229,151,4680,5567,0,0,False
12,14,2,1,13255,0,44,1244,13481,9,3,242,146,3991,4844,0,0,False
7,29,3,5,1095,0,27,304,1117,89,58,239,100,687,1032,0,1,False
50,17,9,5,124,0,11,278,161,7,0,170,81,70,118,0,4,False
53,15,5,8,8900,0,42,1117,9065,1,1,195,87,2851,3612,0,0,False
42,8,3,3,12991,0,44,1190,13138,4,0,310,178,3863,4706,0,0,True
14,67,2,1,10462,0,42,1386,10787,30,25,371,242,3193,3989,0,0,False
116,40,4,31,13462,0,44,1168,13613,16,12,186,117,4021,4875,0,0,False
34,57,9,39,21844,0,47,721,21930,2,1,310,144,5758,6695,0,1,False
19,15,3,2,12267,0,43,1251,12540,17,12,428,244,3657,4479,0,0,False
22,3,2,1,13429,0,44,1184,13605,10,6,192,120,4017,4871,0,0,False
4,28,3,5,9156,0,42,1129,9435,1,1,241,118,2918,3683,0,1,False
226,45,6,22,21723,0,47,746,21832,2,1,297,160,5708,6643,0,0,False
91,75,7,5,6067,0,42,804,6139,6,3,166,87,2270,2966,0,3,False
31,23,5,1,3624,0,37,774,3786,1,0,199,85,1639,2253,1,2,False
40,16,5,12,16911,0,45,656,17111,1,1,123,73,4473,5350,0,0,False
31,6,2,1,9434,0,42,1189,9598,2,0,273,151,2949,3716,0,0,False
32,33,4,6,17404,0,46,679,17488,2,1,172,88,4561,5439,0,0,False
140,67,4,5,22321,0,47,704,22446,5,2,268,104,5883,6829,0,0,False
6,14,2,1,1086,0,27,310,1108,6,18,255,104,675,1014,0,1,False
220,22,4,6,12663,0,44,1185,12784,4,4,379,206,3745,4577,0,0,False
76,22,3,5,21194,0,46,663,21352,5,0,254,129,5522,6448,0,0,False
200,39,6,4,22566,0,47,461,22660,2,0,181,89,6024,6986,0,2,False
125,24,4,11,15472,0,45,913,15570,19,14,124,59,4309,5179,0,0,False
27,38,2,10,9611,0,42,1270,9770,7,5,329,213,2968,3738,0,0,False
20,6,3,1,20129,0,46,961,20245,1,1,280,149,5232,6142,0,1,False
96,102,5,12,7194,0,42,538,7295,4,3,126,61,2477,3201,0,2,False
90,15,2,2,18194,0,46,920,18352,26,9,274,160,4770,5661,0,0,False
93,21,2,1,391,0,19,181,423,18,14,170,75,161,279,0,1,False
11,16,2,2,13649,0,44,1164,13889,1,0,157,101,4042,4898,0,0,False
33,9,2,2,17846,0,46,875,17956,6,0,223,144,4692,5579,0,0,False
9,7,2,2,18695,0,46,972,18942,20,19,198,118,4902,5798,0,0,False
110,4,2,1,22465,0,47,562,22550,21,17,238,105,5994,6956,0,0,False
56,11,4,1,3606,0,37,769,3736,13,7,204,85,1628,2241,0,2,False
81,16,3,1,21050,0,46,699,21185,28,20,258,130,5468,6391,0,1,False
7,36,3,8,13279,0,44,1233,13490,1,0,242,148,3994,4848,0,0,False
