issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
66,42,5,1,8061,0,66,695,8150,5,1,341,15,1676,3184,4,2,False
52,9,3,3,11678,0,69,699,11816,6,1,184,4,2890,4934,0,1,False
86,25,4,1,7724,0,66,532,7827,6,0,318,18,1570,3024,0,2,False
30,4,1,1,23421,0,84,592,23491,12,0,75,1,5093,8463,0,0,False
16,1,2,1,15305,0,75,833,15404,27,0,207,7,3648,6296,0,0,False
9,8,4,6,9941,0,69,575,10050,7,3,233,9,2362,4117,0,2,False
75,25,8,4,6184,0,58,755,6324,17,30,297,29,1141,2395,0,4,False
77,22,6,6,9187,0,69,675,9277,25,1,338,8,2083,3760,0,3,False
37,10,2,3,15606,0,75,901,15791,8,0,217,9,3714,6388,0,0,False
30,4,1,1,16064,0,75,691,16165,15,1,194,9,3773,6480,0,0,False
50,12,7,3,8345,0,66,674,8442,22,8,330,39,1804,3363,0,3,True
76,4,3,1,23441,0,84,581,23553,7,2,56,1,5096,8467,0,0,False
27,23,11,13,8925,0,69,603,9028,30,4,328,6,2005,3645,0,5,False
197,15,5,3,7793,0,66,528,7892,6,3,296,10,1592,3063,2,3,False
24,19,4,2,20972,0,83,621,21057,56,141,149,6,4592,7766,0,0,False
202,11,8,3,6896,0,59,763,6992,7,1,308,33,1324,2661,0,4,True
54,24,6,2,5138,0,57,1203,5374,64,63,364,108,897,2097,2,3,True
29,6,2,1,23279,0,84,674,23390,13,0,90,1,5059,8421,0,0,False
62,4,4,1,9563,0,69,723,9721,19,5,335,11,2240,3957,0,2,False
22,12,5,6,8934,0,69,603,9032,7,1,321,5,2012,3653,0,2,False
100,19,4,3,14868,0,74,636,14984,1,0,176,27,3570,6165,0,1,False
40,24,2,1,9028,0,69,672,9136,19,0,300,7,2041,3695,0,1,False
22,11,2,1,22344,0,83,473,22444,29,15,111,29,4908,8246,0,0,True
65,141,2,3,10273,0,69,637,10397,12,0,238,8,2469,4283,3,1,False
