issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
46,10,2,3,8265,0,257,437,8316,1,0,265,31,1011,3741,0,0,True
59,0,1,0,2554,0,119,632,2646,1,0,316,83,345,1056,0,0,False
11,14,3,1,8113,0,255,452,8223,1,0,258,34,1006,3694,0,0,False
11,0,2,0,2307,0,113,789,2443,6,1,384,107,321,953,0,0,False
8,30,3,2,1338,0,80,1058,1506,1,0,434,171,164,572,0,2,False
33,19,2,2,3256,0,150,972,3429,1,0,377,81,450,1406,0,0,False
6,8,2,2,814,1,62,1192,1023,3,1,493,179,89,359,0,0,False
33,0,2,0,7910,20,249,500,7974,13,11,284,45,978,3551,0,0,False
11,0,2,0,3232,0,150,968,3393,1,0,376,83,449,1398,0,0,False
9,13,3,1,236,3,38,1316,485,8,3,530,153,41,139,0,0,False
10,17,2,2,1115,10,73,1108,1302,10,6,451,175,126,468,0,0,False
4,0,1,0,1486,50,86,1018,1594,22,20,425,161,183,622,0,0,False
21,12,2,3,7368,0,244,544,7498,3,1,296,74,895,3277,0,0,False
11,13,1,1,10828,0,279,571,10937,2,0,245,17,1190,5062,0,0,False
7,32,2,5,976,0,68,1145,1175,44,43,462,172,108,421,0,0,False
7,0,1,0,1035,7,71,1127,1257,16,7,456,177,116,442,0,0,False
4,0,2,0,6810,2,238,824,6966,3,1,389,78,838,3037,0,0,False
20,52,2,1,1554,0,89,1054,1746,1,0,426,162,216,675,0,0,False
8,0,2,0,2870,3,139,952,3053,8,2,336,81,405,1238,0,0,False
10,0,2,0,6818,0,238,818,6972,7,1,382,76,839,3042,0,0,False
17,0,2,0,41,0,20,1312,183,5,2,487,134,15,54,0,0,False
17,0,1,0,7292,0,243,562,7395,11,10,313,77,881,3230,0,0,False
6,0,1,0,1119,0,73,1106,1305,43,42,448,173,126,470,0,0,False
27,0,3,0,1438,0,83,1042,1568,2,0,428,163,177,609,0,0,False
10,13,2,1,615,14,56,1186,840,12,5,523,181,73,286,0,0,False
7,0,2,0,6565,0,230,830,6667,4,3,396,76,809,2909,0,0,False
5,26,3,1,286,0,41,1269,541,1,0,521,152,43,156,0,0,False
15,11,2,1,6306,1,216,733,6449,3,0,436,80,752,2714,0,0,False
26,0,2,0,8222,4,257,440,8299,2,1,272,32,1009,3733,0,0,False
20,24,2,3,1811,0,99,938,2016,1,0,410,126,255,775,0,0,False
8,0,2,0,1339,62,80,1060,1506,26,25,434,170,164,572,0,0,False
3,10,3,1,6957,0,238,749,7088,1,0,351,76,849,3100,0,0,False
8,3,2,2,1411,54,81,1037,1554,24,23,435,168,174,595,0,0,False
6,26,2,1,6937,2,238,753,7070,3,0,356,75,847,3091,0,0,False
10,6,2,1,2050,0,104,813,2209,2,1,393,120,276,840,0,0,False
31,0,1,0,9608,0,273,590,9695,1,1,287,40,1110,4463,0,0,False
18,0,2,0,2435,1,117,705,2581,1,0,343,85,339,1013,0,0,False
6,0,1,0,1321,62,80,1067,1498,27,26,441,174,162,564,0,0,False
25,0,1,0,3943,4,160,841,4065,9,3,480,112,490,1628,0,0,False
10,0,2,0,2700,10,132,808,2827,29,12,327,87,378,1166,0,0,False
26,0,1,0,5132,0,190,984,5318,2,0,370,61,668,2288,0,0,False
10,0,2,0,7687,22,248,448,7738,18,15,283,59,941,3407,0,0,False
16,0,2,0,6869,30,238,784,7024,30,28,366,74,842,3064,0,0,False
91,45,2,2,403,0,42,1212,624,1,0,522,152,51,184,0,0,False
5,6,2,2,1069,16,72,1132,1275,12,7,453,177,122,456,0,0,False
40,15,2,1,13403,0,284,543,13506,1,0,323,31,1301,6241,0,1,True
7,20,2,6,2758,1,132,861,2861,2,1,319,76,382,1176,0,1,False
10,0,2,0,7806,13,248,505,7875,13,8,288,51,957,3491,0,0,False
104,11,2,1,6404,0,217,684,6488,1,0,417,79,760,2752,0,0,False
6,14,2,2,3271,0,150,967,3446,3,3,375,80,451,1414,0,0,False
20,19,6,4,2388,0,115,738,2525,2,1,359,96,333,994,0,2,False
30,10,2,1,2671,4,130,713,2777,6,5,322,94,375,1140,0,0,False
51,0,2,0,1815,0,99,939,2042,1,0,408,127,255,781,0,0,False
7,10,2,1,6399,13,217,678,6478,13,11,413,80,760,2749,0,0,False
63,40,2,11,4174,0,167,1031,4343,1,0,550,136,524,1757,0,0,False
77,7,2,2,772,0,61,1211,1010,1,0,503,180,87,352,0,0,False
59,28,4,4,41,0,20,1312,183,1,0,487,134,15,54,0,0,False
17,47,2,3,5558,11,202,959,5722,8,5,387,70,696,2445,0,0,True
6,1,1,1,6468,3,220,688,6522,8,6,392,77,773,2792,0,0,False
7,36,2,4,7156,0,243,636,7305,2,0,323,78,867,3180,0,0,False
9,0,2,0,714,9,60,1181,953,20,9,511,182,83,326,0,0,False
31,0,1,0,8308,0,258,476,8373,2,0,286,32,1018,3771,0,0,False
3,0,2,0,1756,0,97,934,1945,19,17,409,127,250,752,0,0,False
22,0,2,0,2420,0,115,712,2571,4,2,350,89,334,1004,0,0,False
2,8,2,2,1708,0,96,960,1850,25,19,406,130,245,733,0,0,False
5,13,2,1,1086,4,72,1117,1279,10,4,451,174,122,458,0,1,False
19,12,2,1,8179,1,257,430,8287,4,1,273,33,1009,3726,0,0,False
20,0,1,0,4447,0,172,972,4569,34,33,549,141,565,1918,0,0,False
18,0,1,0,843,0,62,1169,1034,1,0,486,177,90,364,0,0,False
13,10,2,3,5629,1,203,899,5768,3,1,389,69,700,2463,0,0,False
6,0,1,0,3344,5,152,997,3621,20,5,379,74,455,1450,0,0,False
3,0,1,0,6925,0,238,762,7058,2,1,357,74,846,3084,0,0,False
57,51,2,3,3704,1,155,834,3849,4,1,416,85,471,1530,0,0,False
6,9,3,1,3078,7,141,906,3135,19,7,329,64,415,1283,0,0,False
10,0,2,0,6926,0,238,761,7060,2,1,355,74,846,3084,0,0,False
10,44,3,2,2522,6,119,661,2635,24,10,323,83,345,1045,0,0,False
19,7,2,2,5768,0,204,854,5915,1,0,408,83,709,2509,0,0,False
89,0,2,0,2620,0,123,674,2696,1,0,314,84,357,1097,0,0,False
17,0,2,0,6927,28,238,760,7062,29,28,355,74,846,3085,0,0,False
12,9,3,3,1414,52,81,1035,1554,23,22,433,166,174,595,0,3,False
8,11,2,1,2221,0,109,830,2364,1,0,398,114,307,909,0,0,False
7,6,2,2,2276,0,109,800,2396,4,0,387,108,312,925,0,0,False
20,7,2,2,1329,0,80,1064,1502,3,0,438,174,163,569,0,0,False
38,9,2,2,2699,0,132,795,2818,1,0,326,89,378,1166,0,0,False
18,14,2,1,8102,0,255,443,8203,2,0,270,36,1004,3680,0,0,False
6,28,3,10,3805,0,157,803,3920,2,1,421,92,476,1562,0,2,False
58,0,1,0,9652,0,273,589,9739,1,0,275,43,1115,4489,0,0,False
30,7,2,3,2670,1,130,705,2771,2,1,320,93,375,1139,0,0,False
209,0,2,0,8026,12,252,469,8106,7,5,271,42,995,3636,0,0,False
9,8,2,2,1765,6,98,927,1958,6,4,408,126,251,758,0,0,False
8,1,1,1,4913,1,187,1003,5116,4,3,384,76,650,2210,0,0,False
59,14,3,3,2680,0,130,736,2794,3,2,320,94,376,1149,0,2,False
82,25,2,6,7053,0,241,683,7143,1,0,323,79,853,3119,0,0,False
8,10,1,1,6560,0,230,833,6667,2,0,404,79,809,2908,0,0,False
19,13,3,1,157,0,28,1335,379,1,0,515,147,28,101,0,0,False
5,6,2,2,1694,20,96,966,1834,14,13,404,132,243,728,0,0,False
33,46,3,3,6630,1,232,846,6751,1,0,393,76,814,2938,0,2,False
10,13,2,1,3324,5,151,1006,3595,4,3,383,76,453,1442,0,1,False
30,40,2,22,1270,0,79,1080,1432,38,36,441,179,155,540,0,1,False
16,10,2,3,231,2,38,1320,482,2,1,531,153,40,136,0,2,False
9,5,4,4,7687,0,248,430,7734,4,1,283,57,938,3404,0,0,False
8,10,2,2,7423,0,244,516,7544,1,0,286,77,904,3303,0,0,False
67,14,2,3,4272,0,169,1043,4427,1,0,557,143,528,1796,0,0,False
12,0,2,0,7982,5,251,491,8065,8,5,272,44,989,3605,0,0,False
7,0,2,0,4682,0,181,1038,4821,2,0,449,94,609,2076,0,0,False
10,0,2,0,7193,25,243,614,7312,27,24,318,78,867,3186,0,0,False
15,29,3,1,591,0,54,1195,808,2,0,517,175,71,277,0,1,False
33,26,3,2,1086,0,72,1117,1280,2,1,452,175,122,458,0,0,False
116,15,2,1,4649,0,180,1070,4790,1,0,468,96,605,2057,0,0,False
6,0,1,0,1588,44,93,1037,1786,23,21,426,159,225,691,0,0,False
5,0,2,0,671,0,58,1186,910,3,2,524,185,79,313,0,0,False
25,10,2,1,9694,0,273,587,9770,1,0,276,43,1117,4506,0,0,False
9,0,1,0,7677,0,248,435,7732,3,0,284,56,937,3400,0,0,False
11,7,2,2,61,0,21,1317,206,1,0,487,135,15,56,0,0,False
6,6,2,2,9477,0,272,642,9593,6,0,271,24,1103,4412,0,0,False
5,6,2,1,8072,6,255,455,8180,4,3,271,38,1003,3669,0,0,False
112,27,3,2,8629,0,264,669,8744,1,0,334,23,1057,3997,0,0,False
64,0,2,0,7107,1,242,667,7277,1,0,327,78,860,3165,0,0,False
34,11,2,4,3342,0,152,998,3619,1,0,381,74,455,1448,0,0,False
20,9,1,1,5900,0,209,802,6086,11,10,427,84,721,2570,0,0,False
30,0,2,0,6529,0,229,798,6639,1,0,389,78,804,2880,0,0,False
45,0,2,0,8542,1,262,636,8636,2,1,347,25,1053,3954,0,0,True
16,11,2,1,4653,5,180,1066,4806,8,4,464,96,605,2062,0,0,False
3,0,2,0,6961,1,238,746,7088,2,0,350,76,849,3100,0,0,False
89,0,1,0,7709,0,248,488,7767,5,2,289,56,944,3430,0,0,False
5,0,3,0,1901,0,100,891,2103,4,2,406,125,259,797,0,0,False
106,0,1,0,3235,3,150,973,3402,9,4,375,83,449,1402,0,0,False
6,0,2,0,4783,3,184,1028,4968,6,2,423,79,629,2143,0,0,False
45,11,1,1,3149,0,146,973,3244,1,0,372,75,429,1335,0,0,False
4,11,2,1,1786,9,99,934,2006,10,9,416,129,255,772,0,0,False
26,7,3,2,400,0,42,1214,624,1,0,522,150,51,184,0,2,False
7,4,2,4,1307,0,80,1070,1492,35,34,442,181,161,560,0,0,False
10,11,2,1,7364,0,244,546,7498,1,0,302,74,894,3275,0,0,False
19,13,2,2,9581,0,273,596,9670,1,0,280,25,1109,4455,0,0,False
17,16,3,2,3244,0,150,983,3419,1,0,376,82,450,1404,0,0,False
40,22,3,2,4560,0,179,974,4676,1,0,481,110,588,1981,0,0,False
18,8,3,3,2367,1,114,758,2504,2,1,367,102,327,980,0,1,False
30,0,2,0,6936,3,238,754,7068,4,0,356,75,846,3089,0,0,False
48,0,2,0,2900,0,140,944,3065,1,0,336,77,406,1248,0,0,False
33,4,1,1,6533,2,229,826,6643,5,3,398,81,807,2890,0,0,False
17,7,2,2,4653,0,180,1066,4800,4,3,463,95,605,2060,0,0,False
13,9,2,2,3049,0,141,867,3120,2,0,327,69,414,1276,0,0,False
4,13,2,3,1664,25,96,984,1816,16,15,412,145,240,718,0,0,False
15,25,2,1,5370,0,198,1042,5482,2,1,380,64,684,2369,0,0,False
29,0,2,0,1083,0,72,1120,1277,2,1,453,174,122,458,0,0,False
77,0,2,0,8346,2,258,492,8413,2,0,302,29,1022,3796,0,0,False
4,4,1,1,2671,0,130,713,2777,4,0,320,93,375,1141,0,0,False
60,8,2,2,5572,0,202,953,5736,2,1,385,70,696,2454,0,0,False
29,7,2,2,2850,0,137,912,2998,1,0,336,84,398,1222,0,0,False
13,13,2,1,379,11,42,1217,615,11,4,521,151,48,176,0,0,False
29,9,3,3,4618,0,180,1033,4753,1,0,484,103,599,2032,0,0,False
19,0,1,0,4449,0,172,978,4573,33,31,542,137,565,1919,0,0,False
106,11,2,4,4494,0,173,980,4608,1,0,513,130,572,1933,0,0,False
22,0,2,0,6644,0,232,854,6779,1,0,384,79,814,2949,0,0,False
64,6,2,2,1362,0,81,1062,1532,4,3,436,168,172,586,0,0,False
10,0,2,0,7444,16,244,500,7552,18,15,272,73,907,3312,0,0,False
10,0,2,0,7522,10,244,462,7632,12,8,271,73,916,3343,0,0,False
11,0,1,0,3038,0,141,869,3120,2,0,326,71,413,1273,0,0,False
47,7,2,1,5361,0,198,1049,5477,1,0,384,66,683,2364,0,0,False
12,5,1,1,1801,0,99,937,2012,4,0,414,121,255,773,0,0,False
32,3,1,1,4622,2,180,1037,4766,6,4,481,104,599,2036,0,0,False
11,21,3,8,6630,0,232,837,6750,1,1,396,76,814,2938,0,0,True
18,3,2,1,7798,0,248,509,7867,2,0,289,50,957,3490,0,0,False
34,3,1,1,8415,2,260,544,8473,9,4,318,27,1033,3827,0,0,False
31,0,2,0,2628,3,124,685,2741,1,0,316,85,362,1110,0,0,False
8,0,3,0,1811,0,99,938,2016,2,0,411,126,255,775,0,0,False
7,0,2,0,2288,0,111,794,2426,10,4,389,112,315,942,0,0,False
40,30,3,2,6522,0,226,780,6583,1,0,390,77,793,2846,0,1,False
7,16,3,3,6464,12,219,687,6517,12,11,393,77,772,2789,0,1,False
62,0,2,0,443,0,47,1265,666,1,0,544,171,56,210,0,0,False
13,19,1,1,2203,0,107,832,2356,2,1,393,116,304,902,0,0,False
155,14,3,2,91,0,24,1330,279,5,0,504,143,22,74,0,0,False
6,8,2,2,3193,0,148,975,3342,2,0,376,83,440,1373,0,0,False
6,13,2,1,5148,2,190,971,5322,1,2,366,59,668,2289,0,0,False
20,50,4,6,3144,0,146,978,3242,1,0,376,76,428,1333,0,3,False
19,2,2,1,4461,0,172,992,4581,31,29,536,134,566,1920,0,0,False
25,8,1,1,1270,0,79,1080,1434,37,36,440,179,155,541,0,0,False
71,27,1,1,6527,0,228,785,6601,4,1,387,76,798,2864,0,0,False
27,30,2,2,4077,0,165,942,4167,2,0,525,131,513,1692,0,1,False
29,0,2,0,227,3,38,1321,472,3,2,531,153,40,136,0,0,False
29,20,3,4,7324,0,243,568,7476,8,6,313,76,891,3267,0,0,False
9,11,2,1,7393,3,244,535,7533,8,2,295,74,902,3296,0,0,False
11,0,1,0,1393,0,81,1048,1547,29,26,440,169,173,592,0,0,False
37,11,2,1,4228,3,169,1046,4383,7,3,565,141,525,1780,0,0,False
17,14,1,1,5035,1,190,1013,5210,2,0,386,66,658,2248,0,0,False
9,0,1,0,4868,0,187,1047,5100,4,0,402,79,647,2199,0,0,False
27,10,2,1,5997,0,211,774,6133,1,0,413,67,726,2595,0,0,False
9,7,1,1,10482,0,276,555,10525,1,0,287,14,1176,4879,0,0,False
69,7,2,2,3748,0,155,816,3863,3,1,423,89,472,1544,0,0,False
4,2,2,2,2240,0,109,825,2387,10,6,398,115,309,919,0,0,False
11,0,2,0,7840,24,248,507,7918,17,15,282,49,966,3517,0,0,False
33,0,1,0,8739,0,266,638,8812,1,0,334,21,1060,4046,0,0,False
15,0,2,0,3356,5,153,990,3631,10,4,379,70,457,1453,0,0,False
7,0,1,0,5221,2,190,949,5359,9,3,354,58,668,2305,0,0,False
10,0,2,0,7443,17,244,501,7552,19,16,274,74,907,3312,0,0,False
17,18,2,2,1811,0,99,938,2016,1,0,414,126,255,775,0,0,False
85,64,2,2,4143,0,166,1003,4295,2,0,535,133,520,1734,0,0,False
9,17,2,3,2203,0,107,837,2356,13,11,395,117,304,903,0,0,False
7,11,2,1,3167,0,147,955,3277,1,2,371,76,433,1344,0,0,False
144,14,2,1,5402,0,199,1053,5549,2,0,376,63,684,2394,0,0,False
127,0,2,0,7286,13,243,560,7387,1,0,309,80,879,3221,0,0,False
2,0,1,0,9521,0,272,611,9637,2,2,273,23,1105,4435,0,0,False
9,39,2,2,5221,12,190,948,5359,7,6,356,58,668,2305,0,0,False
6,0,2,0,6565,3,230,830,6667,5,2,399,76,809,2909,0,0,False
2,11,2,1,4868,0,187,1047,5100,10,0,408,79,647,2199,0,0,False
20,54,2,3,6374,0,216,679,6463,1,0,416,78,753,2727,0,0,True
40,35,1,1,7938,14,251,495,8014,10,9,275,44,982,3574,0,0,False
21,0,2,0,2797,0,135,907,2917,1,0,325,80,391,1204,0,0,False
5,0,2,0,447,0,48,1264,682,1,0,538,168,58,214,0,0,False
19,9,3,2,2375,0,114,751,2505,1,0,365,101,327,982,0,1,False
6,0,2,0,4708,5,183,1026,4838,23,11,444,85,618,2096,0,0,False
6,6,2,2,1734,12,96,945,1891,13,12,408,129,247,740,0,0,False
6,0,1,0,8001,14,251,479,8073,9,8,266,43,991,3616,0,0,False
11,0,2,0,2748,7,132,811,2850,26,9,329,76,380,1171,0,0,False
38,10,3,2,3970,1,161,838,4081,3,1,484,115,494,1635,0,0,True
7,0,2,0,2647,0,128,692,2755,2,1,312,87,371,1126,0,0,False
42,34,2,4,3404,1,154,976,3689,2,1,374,67,459,1474,0,0,False
34,7,1,1,6284,0,216,740,6442,6,5,432,80,751,2707,0,0,False
121,32,3,1,2768,0,133,880,2883,1,0,326,77,385,1186,0,0,False
68,16,4,4,10438,0,276,568,10512,1,0,293,15,1176,4864,0,0,True
10,9,2,1,908,1,66,1177,1116,3,2,480,177,100,391,0,0,False
26,8,2,2,1930,1,100,875,2128,3,2,407,125,260,800,0,0,False
23,0,1,0,6812,2,238,823,6966,3,2,387,78,838,3038,0,0,False
6,0,1,0,8413,0,260,545,8470,1,0,315,27,1033,3827,0,0,True
197,0,1,0,8482,0,261,585,8533,1,0,334,27,1042,3889,0,0,False
17,0,1,0,5915,0,209,816,6098,8,7,426,83,721,2571,0,0,False
27,25,2,3,8129,0,255,445,8228,1,0,265,34,1007,3698,0,0,False
67,9,2,2,1281,0,80,1075,1441,36,35,445,181,156,544,0,0,False
18,0,2,0,4544,0,179,990,4667,14,13,494,113,588,1980,0,0,False
7,7,2,1,1055,5,72,1135,1270,12,5,449,172,121,454,0,0,False
28,0,2,0,7463,13,244,497,7603,15,12,275,75,910,3323,0,0,False
18,0,1,0,723,0,60,1192,968,49,48,507,181,84,331,0,0,False
10,22,2,2,6691,0,235,852,6840,7,2,379,82,820,2973,0,0,False
88,21,2,10,4122,0,166,972,4246,3,2,531,135,519,1719,0,2,False
56,8,2,3,548,0,52,1203,736,1,0,520,170,66,246,0,0,False
24,0,2,0,8710,4,265,651,8788,2,1,339,24,1059,4026,0,0,True
13,13,2,2,2572,1,120,623,2655,3,1,316,80,347,1062,0,0,False
10,29,2,5,1258,0,77,1090,1425,1,0,445,178,153,536,0,1,False
32,21,2,1,4051,0,165,900,4147,4,1,513,125,509,1684,0,0,False
10,0,1,0,9651,0,273,583,9732,3,1,280,44,1113,4484,0,0,False
37,42,2,6,4140,0,166,987,4289,1,0,532,134,520,1731,0,0,False
6,0,2,0,1502,0,86,1035,1643,24,20,428,159,191,640,0,0,False
27,18,2,3,8853,0,270,699,8981,1,0,326,29,1074,4129,0,0,False
84,11,3,1,2576,0,120,626,2663,2,1,310,79,348,1067,0,1,False
5,0,2,0,7121,2,243,654,7286,5,2,322,77,862,3168,0,0,False
22,9,2,3,4784,0,185,1032,4979,2,0,423,79,634,2150,0,0,False
41,0,2,0,6290,0,216,741,6448,5,4,440,81,751,2713,0,1,False
19,0,1,0,6499,12,221,771,6530,11,11,388,70,778,2807,0,0,False
7,7,2,2,4834,0,186,1049,5064,1,0,407,77,641,2181,0,0,False
36,71,3,5,3040,0,141,871,3120,1,0,323,70,413,1273,0,0,False
7,9,2,7,1492,0,86,1021,1603,26,23,425,162,185,625,0,0,False
10,0,2,0,6539,6,230,848,6656,8,4,402,79,809,2901,0,0,False
16,17,2,1,10561,0,276,595,10680,2,1,282,13,1182,4954,0,0,False
8,5,2,2,5068,1,190,1010,5265,11,6,380,68,664,2271,0,0,False
23,8,1,2,1234,0,77,1074,1399,3,1,453,183,146,515,0,0,False
30,0,2,0,4559,0,179,975,4676,11,10,484,110,588,1981,0,0,False
101,7,3,1,1947,0,100,861,2129,1,0,406,124,261,802,0,0,False
15,4,2,2,1325,0,80,1066,1498,32,30,440,174,163,569,0,0,False
15,0,3,0,2049,0,104,812,2209,2,1,394,122,276,840,0,0,False
74,15,2,1,6132,0,216,805,6384,2,2,423,76,746,2676,0,0,False
39,7,2,2,1915,0,100,882,2112,1,0,407,124,259,797,0,0,False
