issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
31,0,2,0,3365,0,75,442,3443,1,0,41,34,1347,1496,0,0,False
116,81,2,3,308,0,20,675,429,3,0,309,234,295,391,1,0,False
74,20,2,1,3253,0,74,333,3290,1,0,27,26,1339,1488,0,0,False
37,3,1,1,1401,53,47,1105,1554,72,71,366,337,786,929,1,0,True
13,0,2,0,1161,0,37,604,1212,1,0,288,222,627,758,0,0,False
47,0,2,0,1720,53,51,968,1932,27,23,326,287,909,1053,0,0,False
29,0,2,0,16,0,9,441,72,13,10,403,305,48,75,0,0,False
5,0,2,0,144,0,12,495,186,1,0,362,285,139,203,0,0,False
60,0,2,0,9,0,9,448,69,16,12,408,308,47,71,0,0,False
8,0,2,0,487,0,23,655,559,4,3,271,212,381,487,0,0,False
6,0,1,0,1032,143,35,469,1123,61,54,254,199,580,709,0,0,False
1147,12,2,4,3060,3,73,418,3167,4,3,40,37,1314,1463,0,0,False
32,0,3,0,21,0,9,454,77,8,4,402,305,52,86,0,1,False
31,19,1,1,1711,54,51,977,1932,30,27,330,292,909,1053,0,0,False
54,6,1,2,916,0,33,447,1027,21,15,245,181,532,655,0,0,False
2,0,2,0,442,0,22,623,498,22,21,285,225,352,454,0,0,False
2,0,1,0,1188,178,39,725,1267,57,49,303,244,657,789,0,0,False
4,0,1,0,2901,27,68,376,2942,26,25,106,93,1258,1404,0,0,False
4,1,1,1,4170,2,82,401,4261,5,4,6,5,1434,1583,0,0,False
18,0,1,0,559,199,26,643,707,71,60,266,207,421,534,0,0,False
8,0,1,0,1056,140,35,472,1142,61,51,251,194,583,713,0,0,False
49,0,1,0,1061,0,36,493,1159,1,0,252,198,592,723,0,0,False
136,9,5,4,140,0,12,485,173,1,0,370,292,132,196,1,0,False
160,13,3,5,155,22,12,493,193,34,34,354,281,142,209,1,0,False
84,45,2,2,2691,0,59,261,2740,3,0,89,74,1201,1347,0,0,False
174,132,2,2,1586,0,50,1024,1788,1,0,328,297,883,1027,0,0,False
16,0,1,0,1212,253,39,738,1275,33,32,296,240,670,804,0,0,False
83,17,2,2,1587,124,50,1041,1817,32,31,329,299,889,1033,0,0,False
209,23,2,1,2692,0,60,262,2751,2,0,86,73,1202,1348,0,0,False
30,5,2,2,74,161,10,432,145,88,73,391,300,103,161,1,0,False
151,30,2,2,859,4,30,455,956,7,5,236,181,506,627,0,0,False
3,0,1,0,574,191,26,628,714,69,58,263,202,422,535,0,0,False
27,17,5,3,2860,0,64,356,2897,2,0,107,97,1232,1378,0,0,False
42,0,2,0,1085,0,37,508,1181,11,9,273,209,605,736,0,0,False
78,2,1,1,814,146,29,486,897,65,56,246,193,487,604,0,0,False
56,32,2,1,1184,0,39,695,1259,5,4,300,242,653,785,0,0,False
132,51,2,3,789,0,29,505,883,2,1,250,197,484,601,0,0,False
559,34,2,2,1003,0,34,448,1072,1,0,251,192,559,685,0,0,False
52,36,3,2,586,4,26,616,716,10,7,256,199,422,535,1,0,False
2,0,2,0,445,0,22,626,501,21,18,285,218,354,457,0,0,False
37,1,2,1,2647,0,59,300,2708,1,0,105,95,1191,1337,0,0,False
57,0,1,0,2544,8,58,369,2635,17,11,127,111,1152,1297,0,0,False
76,0,2,0,3292,0,74,396,3363,1,0,34,29,1342,1491,0,0,False
20,0,1,0,1163,31,37,604,1212,50,49,287,221,627,758,0,0,False
13,0,2,0,2723,29,60,277,2799,8,6,94,85,1210,1356,0,0,False
81,5,3,1,1182,0,39,674,1253,1,0,298,238,648,780,1,0,True
2,0,2,0,245,0,19,640,335,9,8,325,255,261,347,0,0,False
12,14,1,1,2708,153,60,284,2792,10,6,92,83,1210,1356,0,0,False
10,30,2,3,3948,0,82,338,3995,5,1,29,23,1417,1566,0,0,False
2,0,2,0,164,0,14,542,227,2,1,358,272,171,243,0,0,False
7,0,1,0,780,156,29,513,881,70,60,253,199,483,600,0,0,False
26,0,2,0,1457,0,49,1085,1587,1,0,366,338,814,958,0,0,False
8,0,2,0,1147,0,37,575,1202,1,0,280,212,622,753,0,0,False
9,0,1,0,1865,33,51,844,2003,51,41,302,265,926,1070,0,0,False
165,36,7,22,1564,0,50,1040,1744,1,0,349,306,863,1007,2,1,False
7,0,1,0,2347,290,55,493,2473,44,42,175,156,1079,1223,0,0,False
157,90,4,4,2983,0,72,381,3027,1,0,67,52,1301,1449,0,0,False
2,0,2,0,244,1,19,631,317,4,3,333,259,251,335,0,0,False
6,0,1,0,2699,158,60,257,2754,15,10,84,74,1203,1349,0,0,False
6,0,1,0,275,155,20,652,392,70,56,313,244,281,370,0,0,False
2,0,1,0,1066,151,37,511,1167,62,53,265,211,595,726,0,0,False
134,38,3,3,4258,0,82,336,4344,1,0,1,0,1434,1583,0,0,False
14,0,2,0,1576,9,50,1031,1780,18,17,336,301,881,1025,0,0,False
40,66,3,13,3023,8,73,420,3093,11,10,51,46,1314,1462,0,0,False
9,0,1,0,2569,6,59,352,2663,10,9,123,114,1164,1309,0,0,False
121,37,3,3,1722,0,51,969,1935,6,4,328,287,910,1054,0,2,False
41,2,1,1,103,147,11,447,164,82,62,378,291,115,176,0,0,False
105,5,2,1,61,0,9,435,116,1,0,393,298,78,126,0,0,False
43,30,2,1,1434,0,48,1099,1575,1,0,369,342,802,946,0,0,False
70,11,2,1,1541,0,49,1058,1722,4,1,355,316,854,998,0,1,False
45,9,2,2,630,0,26,612,755,3,1,255,205,440,553,0,0,False
8,0,1,0,1300,0,44,1052,1363,1,0,369,328,714,852,0,0,False
22,24,2,3,2569,6,59,352,2660,11,9,124,114,1162,1307,0,0,False
27,51,3,2,2002,0,54,790,2285,1,0,287,257,1010,1154,0,0,False
434,4,2,1,859,0,30,454,942,2,0,236,181,502,622,0,0,False
15,0,1,0,2451,245,55,417,2541,34,33,154,134,1114,1258,0,0,False
141,1,2,1,2578,0,59,350,2688,4,3,122,112,1175,1320,0,0,False
139,64,3,2,370,0,21,657,463,2,0,297,226,319,419,1,0,False
35,0,1,0,2834,1,63,263,2859,1,0,104,91,1220,1366,0,0,False
51,4,2,1,1026,1,34,462,1092,1,0,254,196,567,696,0,0,False
24,0,2,0,641,4,26,607,758,8,5,258,207,441,554,0,0,False
55,42,3,4,3371,0,75,441,3444,1,0,40,34,1347,1496,0,0,False
54,6,2,1,1275,0,40,857,1302,3,1,302,255,684,821,0,0,False
5,0,2,0,1448,168,49,1091,1587,46,40,369,339,814,958,0,0,False
5,0,2,0,1270,3,40,778,1298,6,3,289,236,679,813,0,0,False
315,14,2,1,3281,0,74,368,3335,1,0,32,25,1342,1491,0,0,False
1,0,1,0,2066,373,54,734,2328,67,62,274,242,1033,1177,0,0,False
5,0,1,0,1038,140,35,464,1123,60,52,251,196,580,709,0,0,False
290,135,4,9,2454,13,55,416,2544,28,20,152,135,1115,1259,0,5,False
39,0,1,0,1748,45,51,958,1936,61,52,326,284,910,1054,0,0,False
12,0,1,0,2707,1,60,270,2776,2,1,87,75,1208,1354,0,0,False
33,0,2,0,1787,0,51,919,1962,13,12,309,274,914,1058,0,0,False
75,5,2,1,1671,57,50,987,1913,33,29,329,291,905,1049,1,0,True
10,32,2,4,2708,153,60,276,2786,13,6,89,78,1209,1355,0,0,False
9,0,2,0,753,0,29,532,865,4,2,260,209,480,597,0,0,False
122,0,2,0,1488,0,49,1059,1607,1,0,356,320,821,965,0,0,False
391,87,4,3,459,0,22,631,508,1,0,278,215,366,469,1,1,False
27,8,1,1,2479,11,56,404,2560,23,18,147,131,1124,1268,0,0,False
4,0,1,0,1505,147,49,1053,1673,37,35,351,319,834,978,0,0,False
114,7,3,1,502,0,23,669,625,1,0,272,207,407,517,1,0,False
24,1,2,1,2708,153,60,284,2792,12,6,94,83,1210,1356,0,0,False
66,21,5,4,1182,0,39,674,1253,1,0,297,238,648,780,0,1,False
4,0,1,0,1371,189,46,1107,1498,43,41,369,336,771,914,0,0,False
57,13,4,3,1389,0,46,1101,1523,1,0,370,338,777,920,0,1,False
37,0,1,0,198,27,16,576,244,36,34,346,266,192,269,0,0,False
256,9,1,1,20,0,9,439,75,1,0,398,300,50,78,0,0,False
15,0,1,0,305,169,20,676,427,70,55,313,236,294,387,0,0,False
7,0,1,0,1158,156,37,578,1204,58,48,282,215,623,754,0,0,False
31,1,2,2,3252,0,74,326,3290,2,0,28,25,1339,1488,0,0,False
2,0,2,0,41,0,9,449,108,10,9,397,301,71,116,0,0,False
37,0,1,0,1833,34,51,875,1992,52,42,303,267,922,1066,0,0,False
6,0,1,0,76,160,10,434,147,87,72,391,300,106,166,0,0,False
45,57,2,1,3948,0,82,338,3995,2,1,26,23,1417,1566,0,0,False
56,0,1,0,1537,55,49,1060,1722,79,67,355,315,854,998,0,0,False
6,0,1,0,377,21,21,650,466,22,22,296,225,324,424,0,0,False
