issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
11,0,1,0,190,0,40,580,280,14,0,804,10,1,378,0,0,True
9,0,1,0,1905,0,72,776,1970,6,0,871,25,79,2517,0,0,False
2,0,1,0,1920,0,74,841,2006,1,0,907,26,79,2549,0,0,False
5,10,1,1,1133,0,62,684,1225,1,0,792,7,29,1602,0,0,False
12,0,1,0,331,20,47,593,410,1,0,788,9,4,550,0,0,True
4,14,3,3,3328,0,86,683,3444,1,0,765,1,287,4245,0,3,False
30,0,1,0,1142,25,62,676,1232,9,2,790,6,29,1608,0,0,False
16,0,1,0,1902,0,72,765,1965,1,0,873,26,78,2509,0,0,False
2,0,2,0,4064,0,91,915,4139,1,0,845,189,657,5027,0,0,False
3,0,1,0,1537,0,70,587,1641,1,0,763,7,49,2066,0,0,False
10,0,1,0,3111,65,85,776,3248,1,0,840,1,218,4014,0,0,False
20,14,2,2,1219,0,64,675,1327,1,0,813,4,33,1741,0,2,False
29,0,1,0,2831,0,81,836,2966,1,0,1016,144,160,3615,0,0,False
13,0,2,0,1168,25,62,659,1234,4,0,791,4,29,1609,0,0,False
55,0,1,0,676,15,57,560,772,1,0,670,15,11,1076,0,0,True
7,0,1,0,2028,0,75,922,2122,1,0,1010,34,88,2708,0,0,True
1,0,1,0,4656,0,102,1424,4858,1,0,1043,23,973,5666,0,0,True
2,0,1,0,621,0,55,583,726,1,0,678,14,10,1013,0,0,False
8,6,2,1,1294,0,66,647,1437,1,0,782,6,40,1846,0,0,False
1,0,1,0,533,0,51,560,626,1,0,702,10,8,889,0,0,False
2,0,1,0,729,0,57,558,836,1,0,669,15,11,1134,0,0,True
13,28,3,3,325,21,47,595,404,2,0,802,9,4,544,0,0,True
66,0,1,0,1181,24,62,655,1254,2,0,798,4,30,1642,0,0,False
4,0,1,0,2053,0,75,931,2138,1,0,1055,38,92,2741,0,0,False
1,0,1,0,1418,0,66,595,1529,1,0,736,5,43,1942,0,0,False
12,7,1,1,4229,0,95,1117,4392,2,1,962,8,764,5251,0,0,False
98,15,2,1,2306,0,77,1002,2437,1,0,1081,49,127,3130,0,0,False
32,0,4,0,4718,0,102,1418,4914,1,0,1009,24,992,5713,0,0,True
6,0,2,0,888,21,58,603,941,13,3,724,8,13,1236,0,0,True
11,0,1,0,4149,0,94,996,4294,10,7,935,9,722,5150,0,0,False
16,0,2,0,301,22,45,600,394,4,1,804,9,4,517,0,0,False
9,20,2,3,1051,0,62,682,1133,1,0,786,8,17,1501,0,0,True
12,2,1,1,1168,25,62,659,1234,5,0,791,4,29,1609,0,0,False
