issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
147,31,4,4,1827,0,295,487,1915,1,0,943,666,3587,4163,1,0,False
55,72,4,11,639,0,129,690,783,1,0,1389,1059,1213,1541,3,10,False
178,13,5,2,751,3,142,649,853,15,10,1387,1048,1355,1701,1,2,False
675,21,36,23,1766,53,281,492,1827,80,77,1075,728,3334,3890,2,29,True
50,28,12,7,619,0,127,686,757,4,2,1399,1069,1143,1464,3,5,True
111,16,5,14,2265,6,313,459,2321,12,9,750,587,4251,4865,2,12,False
21,3,8,3,1414,59,235,569,1541,78,70,1439,1050,2648,3132,4,0,True
38,15,9,8,1193,78,203,589,1273,108,103,1332,977,2153,2587,3,5,True
84,22,3,5,795,0,151,639,915,1,0,1365,1037,1445,1809,2,0,False
105,17,30,14,2544,7,337,558,2631,9,8,906,715,4736,5379,1,30,True
6,2,8,5,988,89,172,601,1078,150,122,1361,1000,1788,2174,3,0,True
57,13,6,10,1644,6,267,568,1738,18,11,1238,891,3118,3650,1,4,True
41,9,21,14,1797,10,286,481,1870,13,12,1026,705,3446,4015,2,26,True
3,5,3,3,1060,13,183,573,1161,26,23,1287,953,1933,2342,1,1,False
35,26,3,3,379,0,92,774,489,5,4,1525,1196,726,987,1,1,False
19,10,2,1,1947,2,299,464,2052,13,11,792,571,3810,4401,2,0,False
35,45,10,9,989,0,172,601,1078,1,0,1349,998,1790,2176,2,4,False
128,85,17,22,3557,0,439,255,3617,2,0,93,41,6208,6886,1,7,False
193,37,5,6,383,2,92,770,490,3,2,1521,1192,727,988,1,2,False
335,41,5,8,1572,0,255,539,1640,2,1,1349,969,2903,3412,2,4,False
80,11,7,8,33,10,33,773,167,11,12,1533,1213,208,342,2,4,True
47,59,8,8,222,0,67,776,367,1,0,1495,1182,501,707,1,5,True
12,24,6,11,2785,22,357,676,2876,29,25,1052,860,5117,5765,2,5,False
66,13,10,6,2076,6,310,423,2114,5,3,681,475,3985,4586,2,21,True
273,78,15,16,3147,5,401,518,3266,8,5,673,532,5739,6416,1,12,False
52,51,19,13,1432,35,237,616,1557,41,30,1439,1065,2701,3192,2,23,False
133,4,10,7,641,4,129,694,787,6,5,1402,1075,1223,1551,2,0,True
24,14,16,31,1033,0,179,589,1153,4,0,1308,972,1888,2292,3,24,False
34,5,4,3,1786,42,283,488,1846,62,51,1045,715,3394,3959,1,0,False
37,24,7,5,3554,56,439,258,3615,3,2,102,47,6208,6886,2,4,False
59,34,2,1,2763,0,354,688,2847,1,0,1075,881,5078,5724,0,0,False
61,7,12,12,1857,22,296,471,1948,16,21,899,633,3650,4229,2,13,False
34,5,2,1,571,16,119,685,685,37,35,1417,1070,1043,1350,3,0,True
88,4,3,5,2460,9,326,507,2516,11,9,828,644,4543,5175,1,0,True
49,5,8,5,2329,51,321,490,2423,66,59,790,623,4379,5000,1,0,True
158,83,3,2,197,0,64,781,345,1,0,1480,1168,457,652,1,1,False
42,22,4,3,1469,0,244,612,1589,2,1,1422,1055,2767,3268,2,0,False
21,30,7,7,1904,0,297,487,2018,1,0,805,589,3757,4342,2,3,False
13,4,8,1,782,11,145,638,904,21,13,1359,1017,1403,1759,4,0,True
151,14,7,5,976,0,172,604,1076,1,0,1377,1001,1775,2160,2,1,False
42,18,7,9,1947,0,299,465,2063,3,1,781,560,3816,4407,3,0,False
